Timestamp,Source,Destination,Protocol,Length
2019-01-17 18:29:10.479182,169.148.229.197,180.211.115.33,TCP,1496
2019-01-17 18:29:10.479187,218.183.129.15,175.73.254.76,TCP,1504
2019-01-17 18:29:10.479188,95.114.52.154,182.245.20.152,TCP,50
2019-01-17 18:29:10.479189,30.216.205.138,179.163.203.180,_WS.SHORT,377
2019-01-17 18:29:10.479193,16.25.140.8,162.172.249.157,TCP,1456
2019-01-17 18:29:10.479195,199.202.6.122,182.247.21.28,TCP,1484
2019-01-17 18:29:10.479196,55.102.209.120,146.55.105.92,TCP,56
2019-01-17 18:29:10.479196,55.37.213.177,161.28.213.233,TCP,1175
2019-01-17 18:29:10.479198,199.202.6.122,182.247.21.28,TCP,1484
2019-01-17 18:29:10.479199,199.202.6.122,182.247.21.28,TCP,1484
2019-01-17 18:29:10.479206,16.25.140.8,162.172.249.157,TCP,1456
2019-01-17 18:29:10.479207,56.55.58.107,161.30.45.227,TCP,50
2019-01-17 18:29:10.479208,65.40.54.129,182.19.140.229,_WS.SHORT,68
2019-01-17 18:29:10.479211,218.183.129.15,175.73.254.76,TCP,1504
2019-01-17 18:29:10.479213,65.40.54.129,182.19.140.229,_WS.SHORT,68
2019-01-17 18:29:10.479213,52.6.202.149,199.124.196.1,TCP,64
2019-01-17 18:29:10.479215,218.183.129.15,175.73.254.76,TCP,1504
2019-01-17 18:29:10.479216,71.39.191.233,175.70.5.245,TCP,95
2019-01-17 18:29:10.479219,198.55.76.144,143.4.195.227,_WS.SHORT,698
2019-01-17 18:29:10.479221,218.183.129.15,175.73.254.76,TCP,1504
2019-01-17 18:29:10.479223,32.51.11.166,162.67.226.13,ESP,108
2019-01-17 18:29:10.479223,26.120.99.176,175.71.59.186,TCP,50
2019-01-17 18:29:10.479224,169.67.224.76,180.211.115.97,TCP,1496
2019-01-17 18:29:10.479225,169.67.224.76,180.211.115.97,TCP,1496
2019-01-17 18:29:10.479226,223.188.112.190,182.237.78.108,TCP,337
2019-01-17 18:29:10.479227,218.183.129.15,175.73.254.76,TCP,1504
2019-01-17 18:29:10.479231,30.20.253.133,170.250.217.181,TCP,64
2019-01-17 18:29:10.479240,55.37.177.67,45.224.196.59,TCP,1404
2019-01-17 18:29:10.479241,34.227.32.160,162.102.156.213,TCP,56
2019-01-17 18:29:10.479242,218.183.129.15,175.73.254.76,TCP,1504
2019-01-17 18:29:10.479244,218.183.129.15,175.73.254.76,TCP,1504
2019-01-17 18:29:10.479248,218.183.129.15,175.73.254.76,TCP,1504
2019-01-17 18:29:10.479250,218.183.129.15,175.73.254.76,TCP,1504
2019-01-17 18:29:10.479251,205.190.27.244,45.169.88.37,TCP,1496
2019-01-17 18:29:10.479253,205.190.27.244,45.169.88.37,TCP,1496
2019-01-17 18:29:10.479254,95.171.180.127,161.146.156.225,TCP,56
